Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes,Unnamed: 9
Shiatzy Chen,Fall 2024,Feminine,"Silk slip dress with lace details, satin pants",,"Loose, flowing","Elegant, delicate","Floral lace accents, soft sheen",
Shiatzy Chen,Fall 2024,Feminine,"White wrap blouse, white wrap skirt",,"Flowy, elegant","Minimalist, chic",Asymmetrical wrap design,
Shiatzy Chen,Fall 2024,Feminine,"Sheer embellished tunic, shorts",,"Straight, relaxed","Sparkling, ethereal","Intricate beadwork, sheer fabric",
Shiatzy Chen,Fall 2024,Feminine,Nude embellished gown,Silver heeled boots,"A-line, flowing","Ethereal, elegant","High neck, intricate detailing",
Shiatzy Chen,Fall 2024,Feminine,Black one-shoulder gown,None visible,"Fitted, sheer","Dramatic, modern","Floral appliqué, asymmetrical neckline",
Shiatzy Chen,Fall 2024,Masculine,Black embroidered coat and pants,Black shoes,"Straight, tailored","Artistic, sleek","Hand-painted effect, minimalist design",
Shiatzy Chen,Fall 2024,Feminine,"Black lace top, tiered tulle skirt",Statement earrings,"A-line, sheer","Romantic, gothic","Intricate lace detailing, layered textures",
Shiatzy Chen,Fall 2024,Feminine,Feathered gown,None visible,"Column, voluminous","Avant-garde, dramatic","Textured feather embellishments, bold silhouette",
Chocheng,Fall 2024,Feminine,"Pink coat, red trousers","Pink hat, pink earrings","Flowy, layered","Bold, monochrome","Textured coat, vibrant color contrast",
Shiatzy Chen,Fall 2024,Feminine,"Sleeveless textured top, sequined skirt",,"A-line, structured","Chic, sophisticated","Layered textures, shimmering sequins",
Chocheng,Fall 2024,Feminine,"Striped sleeveless top, black pants",Black wide-brim hat,"Relaxed, straight","Chic, modern","Striped pattern, bold collar",
Shiatzy Chen,Fall 2024,Masculine,"White double-breasted suit, white turtleneck",Floral brooch,"Relaxed, structured","Minimalist, elegant","Monochrome, clean lines",
Shiatzy Chen,Fall 2024,Masculine,"Black textured blazer, white shirt, black pants",None visible,"Tailored, sleek","Textured, modern","Fringe details, shiny fabric",
Shiatzy Chen,Fall 2024,Feminine,"White fur-collared jacket, white wide-leg trousers",,"Boxy, wide-leg","Chic, modern","Fur detail, monochrome look",
Shiatzy Chen,Fall 2024,Feminine,"Black blazer, black glitter dress",Black handbag,"Tailored, fitted","Sophisticated, classic","Sparkle accents, structured tailoring",
Shiatzy Chen,Fall 2024,Feminine,"Black tweed dress, black shirt","Black knee-high socks, black ankle boots","Fitted, structured","Elegant, textured","Colorful specks in fabric, high slit",
Shiatzy Chen,Fall 2024,Feminine,"Black tweed coat, black dress","Black knee-high socks, glitter shoes","A-line, structured","Chic, classic","Textured fabric, subtle embellishments",
Shiatzy Chen,Fall 2024,Feminine,"White textured coat, black lace skirt","Black knee-high socks, white shoes","Oversized, relaxed","Modern, monochrome","Intricate texture, contrast layering",
Shiatzy Chen,Fall 2024,Feminine,"Black coat, black mini dress","Black handbag, knee-high socks","A-line, tailored","Chic, elegant","Minimal embellishments, monochrome look",
Shiatzy Chen,Fall 2024,Feminine,"Black textured coat, black dress",None visible,"Oversized, flowing","Textured, avant-garde","Fringe details, shiny fabric",
Shiatzy Chen,Fall 2024,Feminine,"Textured jacket, black top, layered skirt","Knee-high socks, ring","Boxy, layered","Textured, sophisticated","Rich textures, subtle sparkle",
Shiatzy Chen,Fall 2024,Feminine,Black lace cape dress,Black knee-high boots,"A-line, flowing","Elegant, gothic",High neck with bow detail,
Shiatzy Chen,Fall 2024,Feminine,Yellow coat with metallic prints,Black ankle boots,"Oversized, cocoon","Bold, artistic","Fur collar, abstract patterns",
Shiatzy Chen,Fall 2024,Feminine,"Black blazer with gold accents, black pants",Black pointed boots,"Tailored, structured","Chic, luxurious","Feather details, metallic embellishments",
Shiatzy Chen,Fall 2024,Feminine,"Yellow jacket, matching shorts","Black knee-high socks, silver pointed shoes","Structured, boxy","Bold, artistic","Metallic prints, vibrant color",
Shiatzy Chen,Fall 2024,Feminine,"Black embroidered coat, gold and black textured pants",Metallic handbag,"Oversized, flowing","Elegant, sophisticated","Textured details, monochrome",
Shiatzy Chen,Fall 2024,Feminine,"Black double-breasted blazer, black trousers",Black textured handbag,"Tailored, sleek","Chic, modern","Gold accents, minimalistic design",
Shiatzy Chen,Fall 2024,Feminine,"Cropped top, high-waisted pants","Black handbag, statement earrings","Cropped, fitted","Modern, bold","Textured fabric, midriff-baring",
Chocheng,Fall 2024,Feminine,"Sheer white long coat, black pants",Black wide-brim hat,"A-line, layered","Elegant, minimalist",Braided details on coat,
Chocheng,Fall 2024,Feminine,"White sleeveless top, pink flared skirt",Black wide-brim hat,Flared,"Chic, modern",Textured top with smooth skirt,
Chocheng,Fall 2024,Feminine,"Black embellished jacket, black skirt",Red statement earrings,Tailored,"Sophisticated, bold",Intricate embellishments on jacket,
Chocheng,Fall 2024,Feminine,"Black cropped jacket, black fitted pants",Black hat,"Fitted, cropped","Chic, modern",Minimalist design with a focus on texture,
Chocheng,Fall 2024,Feminine,"Red top with white collar, red textured pants","Large black hat, small black handbag","Flowy, relaxed","Bold, statement",Bright color contrast with oversized hat,
Chocheng,Fall 2024,Feminine,"Red textured blazer, red trousers, white blouse","Black wide-brim hat, red shoes","Tailored, fitted","Classic, elegant","Double-breasted blazer, bold color contrast",
Chocheng,Fall 2024,Feminine,"Black embellished jacket, black pencil skirt","Black wide-brim hat, black shoes","Tailored, fitted","Sophisticated, chic","Embellished details, monochrome elegance",
Chocheng,Fall 2024,Feminine,"Red blazer, red cropped trousers, red top","Black wide-brim hat, black shoes","Tailored, fitted","Bold, modern","Strong shoulders, monochrome red",
Chocheng,Fall 2024,Feminine,"Red cropped jacket, red high-slit skirt",Black wide-brim hat,"Fitted, sleek","Elegant, bold","Textured fabric, monochrome look",
Chocheng,Fall 2024,Feminine,"Black tailored jacket, black cropped pants","Black hat, large black earrings","Structured, tailored","Elegant, classic",Monochrome look with strong lines,
Chocheng,Fall 2024,Feminine,Black gown,White ruffled collar,"Hourglass, structured","Classic, dramatic","Contrasting collar, tailored fit",
Chocheng,Fall 2024,Feminine,Red sleeveless gown with high slit,"Black wide-brim hat, red earrings, black cuffs","Fitted, asymmetrical","Elegant, dramatic","High slit, bold color",
Chocheng,Fall 2024,Feminine,Red double-breasted coat dress,Black wide-brim hat,"Structured, A-line","Classic, sophisticated","Button detailing, tailored fit",
Chocheng,Fall 2024,Feminine,"Red long-sleeve dress, red trousers",Black wide-brim hat,"Flowing, layered","Chic, modern","Layered look, contrasting textures",
Jonathan Cohen,Spring 2024,Feminine,"Lavender draped dress, floral shawl","Red beaded necklace, statement pendant",Flowy,"Bohemian, artistic","Contrasting prints, relaxed fit",
Jonathan Cohen,Spring 2024,Feminine,"White blouse, patterned tiered skirt",Beaded necklace,"Layered, voluminous","Eclectic, bold","Ruffled tiers, mixed patterns",
Jonathan Cohen,Spring 2024,Feminine,White V-neck dress,"Colorful beaded choker, black fishnet stockings, white heels",A-line,"Elegant, classic","Short sleeves, fitted bodice",
Chocheng,Fall 2024,Feminine,Red coat dress,"Black wide-brim hat, black handbag","A-line, tailored","Sophisticated, vintage-inspired","Textured fabric, statement accessories",
Chocheng,Fall 2024,Feminine,"Sleeveless black coat, pleated skirt",Black cuffs,"Straight, layered","Chic, modern","Pleated skirt, high collar",
Chocheng,Fall 2024,Feminine,Black gown with embellished shoulders,"Wide-brim hat, black cuffs","A-line, dramatic","Sophisticated, theatrical","Embellished details, bold hat",
Chocheng,Fall 2024,Feminine,"Black wrap coat, black trousers",,"Structured, tailored","Minimalist, elegant","Wide collar, monochrome",
Chocheng,Fall 2024,Feminine,"Black tailored jacket, black knee-length shorts",Black wide-brimmed hat,"Structured, fitted","Elegant, classic",Double-breasted jacket with subtle detailing,
Chocheng,Fall 2024,Feminine,"Black embellished coat, black trousers",Black handbag,"Tailored, elongated","Sophisticated, chic","Embellished shoulders, sleek lines",
Chocheng,Fall 2024,Feminine,"Red cape coat, black trousers",Black wide-brimmed hat,"Dramatic, voluminous","Bold, avant-garde","Striking red color, exaggerated shoulders",
Chocheng,Fall 2024,Feminine,"Black fitted jacket, red wide-leg pants","Red statement necklace, black hat","Structured, voluminous","Dramatic, avant-garde","Contrasting colors, bold shapes",
Chocheng,Fall 2024,Feminine,"Red tailored jacket, black pants",Wide-brim black hat,"Tailored, sleek","Chic, sophisticated",Monochrome with a pop of color,
Chocheng,Fall 2024,Feminine,"Black tunic with pleated details, red textured pants","Red statement earrings, black hat","Layered, elongated","Eclectic, bold","Textural contrast, architectural elements",
Chocheng,Fall 2024,Feminine,"Black sleeveless dress, white blouse, black pants",Black earrings,"Straight, layered","Monochrome, classic",Contrasting collar and sleeves,
Chocheng,Fall 2024,Feminine,"Black jacket, black pants",Black earrings,"Tailored, sleek","Minimalist, elegant","Deep neckline, textured fabric",
Chocheng,Fall 2024,Feminine,"Red coat, black shorts","Black earrings, red heels","Structured, bold","Statement, vibrant","Bold red color, intricate detailing",
Chocheng,Fall 2024,Feminine,"Pink textured jacket, orange blouse, pink pencil skirt","Red hat, red earrings","Tailored, fitted","Bold, colorful","Contrasting colors, structured shoulders",
Chocheng,Fall 2024,Feminine,Red textured coat dress,"Black wide-brim hat, red earrings, black clutch","A-line, structured","Elegant, monochrome","Double-breasted, statement hat",
Chocheng,Fall 2024,Feminine,"Pink and orange jacket, red mini skirt","Red hat, red earrings","Tailored, fitted","Colorful, chic","Color blocking, structured fit",
Chocheng,Fall 2024,Feminine,"Red textured jacket, pink blouse, red shorts",Red hat,"Tailored, fitted","Bold, vibrant","Color-blocking with red and pink, structured shoulders",
Chocheng,Fall 2024,Feminine,"Black textured jacket, black skirt with slit",Wide-brimmed black hat,"Structured, elegant","Classic, sophisticated","Monochrome black, strong shoulder details",
Chocheng,Fall 2024,Feminine,"Black cropped jacket, black high-waisted pants",,"Sleek, modern","Minimalist, edgy","Deep neckline, modern tailoring",
Preen by Thornton Bregazzi,Fall 2024,Feminine,"Gray sweater, lime green skirt",,"Fitted, layered","Casual, chic","Textured skirt, soft color contrast",
Preen by Thornton Bregazzi,Fall 2024,Feminine,"Black tailored blazer, high-waisted pants",,"Structured, cinched waist","Modern, bold","Gold button details, exaggerated waist",
Preen by Thornton Bregazzi,Fall 2024,Androgynous,"Black bomber jacket, lace dress",Fur hat,"Layered, relaxed","Eclectic, edgy","Mix of textures, oversized hat",
Preen by Thornton Bregazzi,Fall 2024,Feminine,"Cream knit sweater, pink embellished scarf, leopard print quilted blanket",Fur hat,"Oversized, cozy","Layered, eclectic",Mix of knitwear and prints,
Studio 189,Spring 2024,Feminine,Blue and orange patterned slip dress,,"Slim, flowing","Bold print, minimalistic","Spaghetti straps, barefoot styling",
Studio 189,Spring 2024,Masculine,"Blue and orange patterned shirt, matching pants",White shoes,"Relaxed, layered","Bold print, coordinated","Button-up shirt, casual fit",
Studio 189,Spring 2024,Feminine,Blue and orange patterned maxi dress,,"Flowy, relaxed","Bold print, bohemian","Deep V-neckline, long sleeves",
Commission,Spring 2024,Feminine,"Dark grey polo shirt, black maxi skirt",Blue sneakers,"Loose, elongated","Casual, contemporary",Asymmetrical skirt design with sporty elements,
Commission,Spring 2024,Feminine,White slip dress,"Black leather bag, black boots",A-line,"Minimalist, modern","Asymmetrical detail, logo patch",
Commission,Spring 2024,Masculine,"Gray zip-up jacket, black wide-leg trousers","Gray scarf, green bag",Relaxed,"Sporty, casual","Contrasting textures, street style influence",
Studio 189,Spring 2024,Masculine,"Blue and orange patterned shirt, blue patterned pants",Necklace,"Relaxed, casual","Vibrant, patterned","Barefoot, casual vibe",
Commission,Spring 2024,Feminine,"Brown sleeveless top, tan skirt","Black leather bag, black boots",A-line,"Layered, contemporary","Textured fabrics, asymmetrical skirt",
Commission,Spring 2024,Feminine,Gray sleeveless dress,Beige small bag,"Straight, fitted","Minimalist, modern",Subtle draping on dress,
Commission,Spring 2024,Androgynous,"Blue checkered shirt, black wide-leg pants",Patterned tote bag,"Tailored, relaxed","Casual, contemporary",Asymmetrical buttoning on shirt,
Polo Ralph Lauren,Spring 2024,Feminine,"Beige trench coat, blue shirt, white pants",Beige hat,"Relaxed, oversized","Casual, classic",Neutral tones with a pop of color,
Polo Ralph Lauren,Spring 2024,Feminine,"Blue shirt, herringbone vest, beige pants",Brown hat,"Tailored, layered","Preppy, vintage-inspired",Mix of textures with a structured vest,
Polo Ralph Lauren,Spring 2024,Feminine,"Yellow sweater, blue sweater, white collared shirt, sweatpants",,"Casual, relaxed","Sporty, comfortable",Bright colors with a sporty vibe,
Polo Ralph Lauren,Spring 2024,Feminine,"Beige vest, beige shorts","Blue scarf, straw hat, blue espadrilles","Tailored, relaxed","Casual, chic","Neutral tones, playful accessories",
Commission,Spring 2024,Masculine,"Yellow polo shirt, black wide-leg pants",Patterned tote bag,"Relaxed, oversized","Casual, sporty",Contrast stitching on pants,
Polo Ralph Lauren,Spring 2024,Feminine,"Olive jacket, eyelet skirt","Wide-brim hat, floral bags, sneakers","Layered, structured","Safari, bohemian","Earthy palette, practical elements",
Studio 189,Spring 2024,Masculine and Feminine,"Striped halter dress, striped shirt, striped pants",White shoes,"Flowy, relaxed","Mixed patterns, casual","Couple look, coordinated patterns",
Studio 189,Spring 2024,Masculine,"Patchwork blazer, patchwork trousers",,"Relaxed, tailored","Vibrant, patterned",Coordinated set with bold colors,
Interior,Fall 2024,Feminine,Gold satin gown with high neck,Faux fur clutch,"Flowing, dramatic","Luxurious, opulent","Shiny fabric, statement sleeves",
Interior,Fall 2024,Feminine,"Cream sweater, black maxi skirt",Silver pointed-toe shoes,"Relaxed, elongated","Minimalist, elegant","Soft textures, monochrome contrast",
Interior,Fall 2024,Masculine,"Black coat with fur collar, blue shirt",Black shoes,"Structured, longline","Sophisticated, classic","Faux fur detail, tailored coat",
COS,Fall 2024,Feminine,Black sheer dress,,"Flowy, sheer","Ethereal, elegant","Layered textures, transparency",
COS,Fall 2024,Masculine,"Oversized black blazer, black trousers",,"Relaxed, oversized","Minimalist, modern","Soft tailoring, monochrome",
COS,Fall 2024,Feminine,"Black strapless top, black sheer skirt","Black gloves, black quilted clutch","A-line, layered","Chic, sophisticated","Textured top, sheer layering",
Studio 189,Spring 2024,Masculine,"Patchwork jacket, patchwork skirt",Teal shoes,"Boxy, layered","Patchwork, eclectic","Bold colors, mixed textures",
COS,Fall 2024,Masculine,"Black oversized sleeveless blazer, black wide-leg trousers",,"Oversized, relaxed","Modern, minimal","Double-breasted blazer, relaxed fit",
COS,Fall 2024,Feminine,"Sleeveless black blazer, black trousers",Chain detail shoes,"Structured, tailored","Chic, modern","Belted waist, sleeveless design",
COS,Fall 2024,Feminine,"Black lace top, black wrap trousers",,"Draped, relaxed","Textured, elegant","Sheer top, asymmetrical trousers",
COS,Fall 2024,Masculine,"Oversized black blazer, white shirt, black trousers",,"Oversized, relaxed","Minimalist, tailored","Double-breasted blazer, monochrome look",
COS,Fall 2024,Masculine,"Black sleeveless top, black trousers",,"Relaxed, straight","Minimalist, casual","Understated elegance, clean lines",
Studio 189,Spring 2024,Feminine,Patchwork halter dress,,"Flowy, A-line","Colorful, artistic",Contrasting patterns with a mix of green and yellow,
Studio 189,Spring 2024,Masculine,"Yellow patterned shirt, geometric patterned trousers",,"Slim, fitted","Bold, eclectic",Mix of patterns with earthy tones,
COS,Fall 2024,Feminine,"Black lace sleeveless dress, black slip",,"Sheath, layered","Elegant, delicate",Intricate lace detailing,
Polo Ralph Lauren,Spring 2024,Feminine,"Beige blazer, beige trousers","Green scarf, brown belt, glasses, sneakers","Tailored, elongated","Classic, sophisticated","Neutral tones, modern twist",
Polo Ralph Lauren,Spring 2024,Feminine,"Denim overalls, chambray shirt","Sunglasses, earrings","Relaxed, casual","Denim-on-denim, workwear",Classic American style,
Polo Ralph Lauren,Spring 2024,Feminine,"Brown plaid blazer, blue shirt, tan trousers","Brown hat, earrings","Tailored, layered","Preppy, sophisticated","Mix of textures, polished look",
COS,Fall 2024,Feminine,"Gray blazer, cream blouse, wide-leg denim trousers",,"Relaxed, oversized","Chic, modern","Soft draping, contrast textures",
COS,Fall 2024,Masculine,"Navy suit, turtleneck sweater",,"Relaxed, oversized","Sophisticated, sleek","Monochrome look, clean lines",
COS,Fall 2024,Masculine,"Navy oversized coat, black trousers",Black belt,"Oversized, cocoon","Minimalist, modern","Structured shoulders, monochrome",
COS,Fall 2024,Masculine,"Navy double-breasted coat, navy trousers, zip-up sweater",,"Relaxed, tailored","Classic, sophisticated","Layered outerwear, tonal look",
COS,Fall 2024,Feminine,Black oversized coat,Black belt,"Oversized, cocoon","Minimalist, modern","Structured shoulders, monochrome",
COS,Fall 2024,Masculine,"Black leather jacket, black turtleneck, dark jeans",,"Relaxed, structured","Minimalist, modern",Contrasting textures with leather and denim,
COS,Fall 2024,Masculine,"Olive green double-breasted coat, textured shirt, matching trousers",Black leather bag,"Relaxed, oversized","Minimalist, classic","Muted tones, structured tailoring",
COS,Fall 2024,Feminine,"Black leather jacket, black turtleneck, black trousers",,"Relaxed, oversized","Minimalist, modern",Monochrome look with a focus on leather,
COS,Fall 2024,Feminine,Black off-the-shoulder dress,Embellished black shoes,"Fitted, streamlined","Elegant, minimalist",Classic black dress with modern twist,
COS,Fall 2024,Feminine,Black oversized coat,"Quilted black clutch, green socks, green shoes","Loose, oversized","Contemporary, bold",Pop of color with accessories,
COS,Fall 2024,Masculine,"Gray layered coat, gray suit",Black shoes,"Relaxed, layered","Sophisticated, tailored",Monochrome layering with a casual touch,
COS,Fall 2024,Feminine,"Gray oversized top, gray shorts",Fringed gray clutch,"Relaxed, oversized","Minimalist, modern",Pop of color with green socks,
COS,Fall 2024,Feminine,Camel oversized coat,,"Draped, oversized","Classic, elegant",Contrasting green socks,
COS,Fall 2024,Masculine,"Gray sleeveless top, gray trousers",Black leather bag,"Loose, relaxed","Minimalist, contemporary",Monochrome look with structured bag,
COS,Fall 2024,Masculine,"Black textured sweater, black trousers",,"Relaxed, oversized","Minimalist, modern",Textured knit adds depth to monochrome ensemble,
COS,Fall 2024,Feminine,Faux fur coat,"Pink socks, white shoes","Boxy, cocoon","Bold, textured","Cow print pattern, high collar",
COS,Fall 2024,Feminine,Silk draped dress,Fur slippers,"Fluid, draped","Elegant, minimalist","Asymmetrical neckline, flowing fabric",
COS,Fall 2024,Masculine,"Black cape, black trousers",,"Oversized, relaxed","Minimalist, monochrome","High collar, wide-leg pants",
Polo Ralph Lauren,Spring 2024,Masculine,"Blue jacket, blue sweater, blue pants",Blue cap,"Casual, sporty","Monochrome, sporty","Layered knitwear, casual elegance",
Interior,Fall 2024,Feminine,Black high-neck dress,White shoes,"Flowy, elongated","Elegant, understated","High neckline, sheer fabric",
Interior,Fall 2024,Feminine,"Gray knit sweater, gray knit skirt, gray leggings",White ballet flats,"Relaxed, draped","Cozy, minimalist","Monochrome gray, layered knitwear",
Interior,Fall 2024,Feminine,Long black dress,,"Flowing, elegant","Sophisticated, classic",Dramatic neckline,
Interior,Fall 2024,Feminine,"Belted black coat, white top, gray leggings",White sweater (held),"Fitted, structured","Chic, modern",Contrasting textures,
Interior,Fall 2024,Feminine,"Oversized denim jacket, wide-leg pants, black top",,"Oversized, relaxed","Casual, minimalist",Denim on denim look,
COS,Fall 2024,Feminine,Black sleeveless dress,"Black gloves, puffy clutch, white fluffy shoes","Straight, streamlined","Chic, modern","Contrasting textures, elegant simplicity",
COS,Fall 2024,Feminine,"Black oversized blazer, black trousers, black top",,"Oversized, relaxed","Minimalist, monochrome","Strong shoulders, sleek tailoring",
COS,Fall 2024,Masculine,"Black shearling coat, black shirt, black trousers",,"Relaxed, oversized","Cozy, contemporary","Textured outerwear, monochrome layering",
COS,Fall 2024,Masculine,"Black leather jacket, black trousers",,"Boxy, oversized","Modern, sleek","High collar, casual elegance",
COS,Fall 2024,Feminine,"Gray button-up shirt, gray midi skirt","Pink socks, beige shoes","Relaxed, structured","Minimalist, utilitarian","Epaulettes on shoulders, monochrome look",
COS,Fall 2024,Androgynous,"Black leather jacket, gray trousers",Black shoes,"Boxy, relaxed","Modern, utilitarian","Contrasting textures, monochrome look",
COS,Fall 2024,Feminine,"Gray wool coat, black belt",White fluffy slippers,"Oversized, relaxed","Minimalist, cozy","Draped fabric, cinched waist",
COS,Fall 2024,Feminine,"Black asymmetrical top, black asymmetrical skirt",Black ankle boots,"Asymmetrical, flowing","Edgy, modern","Layered textures, dynamic hemline",
COS,Fall 2024,Masculine,"Black overcoat, black v-neck sweater, black trousers",Black leather shoes,"Structured, elongated","Classic, sleek","Monochrome, tailored fit",
Interior,Fall 2024,Feminine,"Brown leather belted jacket, matching trousers",White pointed-toe shoes,"Structured, tailored","Sophisticated, sleek","Monochrome leather, strong shoulders",
Shiatzy Chen,Fall 2024,Feminine,"White textured coat, white ruffled blouse, white shorts",White floral neck accessory,"A-line, relaxed","Elegant, romantic","Textured layers, floral details",
COS,Fall 2024,Feminine,"Black sleeveless top, black shorts",Black beaded collar,"Slim, short","Chic, contemporary","Embellished neckline, monochrome",
COS,Fall 2024,Feminine,"Dark sheer dress, high collar","Black gloves, quilted clutch","Flowing, layered","Edgy, sophisticated","Sheer fabric, structured collar",
Plan C,Fall 2024,Feminine,"Pinstripe suit, gray turtleneck",Black oversized bag,"Tailored, oversized","Sophisticated, modern","Monochrome layering, sleek lines",
Plan C,Fall 2024,Feminine,"Black short-sleeve dress, gray turtleneck","Gold chain necklace, brown tote bag, black knee-high boots","Boxy, structured","Minimalist, edgy","Bold accessories, clean lines",
Staud,Spring 2024,Feminine,Light blue slip dress,White shoes,"Flowy, relaxed","Minimalist, elegant","Soft fabric, simple design",
Staud,Spring 2024,Feminine,"Blue sleeveless top, wide-leg trousers",Sandals,"Loose, comfortable","Casual, chic","Monochrome look, relaxed fit",
Staud,Spring 2024,Feminine,"Mint trench coat dress, white trench coat dress, lavender trench coat dress","Red flats, white flats","A-line, belted","Classic, versatile","Coordinated group look, playful colors",
Staud,Spring 2024,Feminine,Light blue satin gown,,"Flowing, elegant","Minimalist, chic","High neckline, sleeveless design",
Plan C,Fall 2024,Feminine,"Brown oversized sweater, red and black striped dress","Gold chain necklace, black clutch","Relaxed, layered","Chic, bold","Contrasting textures, statement necklace",
Staud,Spring 2024,Feminine,"White t-shirt, light blue maxi skirt",Green clutch,"Relaxed, flowing","Casual, contemporary",Color contrast with accessories,
Staud,Spring 2024,Feminine,"Blue sleeveless top, voluminous aqua skirt",,"Voluminous, flowing","Playful, vibrant","Bright colors, casual elegance",
Staud,Spring 2024,Feminine,"Black cropped sweater, aqua skirt",Black clutch,"Relaxed, flowing","Chic, modern","Contrast of textures, casual sophistication",
Staud,Spring 2024,Feminine,Navy V-neck dress,,"Sleek, elongated","Minimalist, elegant","Deep neckline, understated style",
Colville,Fall 2024,Feminine,"Pink and white faux fur coat, cream satin dress","Red and white tassel earrings, small crossbody bag","Oversized, voluminous","Eclectic, bold","Textured outerwear, playful accessories",
Colville,Fall 2024,Feminine,Geometric print dress,"Patterned tote bag, red and white tassel earrings","Relaxed, fluid","Graphic, modern","Bold prints, layered accessories",
Colville,Fall 2024,Feminine,"Color-blocked sweater, cream satin skirt, black wide-leg pants","Patterned handbag, red and white tassel earrings","Layered, relaxed","Casual, chic","Mix of textures, color blocking",
Staud,Spring 2024,Feminine,"Light blue cropped top, lavender voluminous skirt",,"Dramatic, voluminous","Bold, playful",Cropped top with statement skirt,
Colville,Fall 2024,Feminine,"Patterned oversized jacket, matching trousers, printed top",Tassel earrings,"Oversized, relaxed","Graphic, bold","Layered patterns, casual elegance",
Plan C,Fall 2024,Feminine,"Beige oversized jacket, brown knit top, beige skirt",Brown chain strap bag,"Boxy, structured","Modern, minimalist","Monochrome palette, oversized fit",
Plan C,Fall 2024,Feminine,"Brown coat, blue striped shirt dress",Red knee-high boots,"Layered, oversized","Eclectic, layered","Mix of textures, bold boots",
Preen by Thornton Bregazzi,Fall 2024,Feminine,"Purple and white shearling coat, black leather dress, floral quilted blanket",None visible,"Oversized, voluminous","Bold, textured",Contrasting colors and patterns,
Preen by Thornton Bregazzi,Fall 2024,Feminine,"Black puffer coat, floral quilted blanket, black lace dress",None visible,"Oversized, layered","Eclectic, avant-garde",Mix of textures and prints,
Hodakova,Fall 2024,Feminine,"White shirt, woven leather skirt","Black tie, black heels","Straight, structured","Innovative, modern",Woven leather texture,
Hodakova,Fall 2024,Feminine,"Beige trench coat, green skirt","Black clutch, black heels","Oversized, belted","Classic, utilitarian",Minimalist accessories,
Hodakova,Fall 2024,Feminine,"Black cardigan, woven leather skirt","Black headpiece, black flats","Straight, fitted","Sophisticated, edgy",Textured footwear,
Hodakova,Fall 2024,Feminine,"Black polo shirt, quilted leather skirt","Black fur clutch, black ribbon shoes","Straight, structured","Edgy, minimalist","Quilted texture, monochrome look",
Plan C,Fall 2024,Feminine,"Gray cardigan, black turtleneck, burgundy wide-leg trousers","Gold chain necklace, black handbag","Relaxed, tailored","Chic, sophisticated","Contrasting textures, statement necklace",
Hodakova,Fall 2024,Feminine,"Blue shirt, leather vest","Brown tie, black fur clutch, mesh headpiece","Boxy, oversized","Androgynous, modern","Layered leather, menswear-inspired",
Hodakova,Fall 2024,Feminine,"Black puff-sleeve top, floral textured mini skirt",Black woven handbag,"Fitted, playful","Chic, youthful",Textured skirt adds dimension,
Hodakova,Fall 2024,Feminine,White button-up shirt dress,"Tan handbag, black embellished shoes","Loose, casual","Effortless, modern",Minimalist with a touch of elegance,
Hodakova,Fall 2024,Feminine,"Dark satin jacket, gray skirt",Wine bottle,"Layered, structured","Sophisticated, avant-garde",Mix of textures and fabrics,
Plan C,Fall 2024,Feminine,"Red short-sleeve coat, black turtleneck, red skirt","Brown handbag, gold chain bracelet","A-line, layered","Bold, modern","Contrasting colors, statement bracelet",
Plan C,Fall 2024,Feminine,"Gray sweater, brown asymmetrical skirt",Gold chain bag,"Asymmetrical, relaxed","Casual, chic","Layered textures, bold accessories",
Plan C,Fall 2024,Feminine,"Brown double-breasted coat, brown skirt, white shirt",White scarf,"Boxy, structured","Classic, elegant","Layered outerwear, neutral palette",
Hodakova,Fall 2024,Feminine,"Blue shirt, black textured dress",Black patent shoes,"Column, voluminous","Avant-garde, textured","3D floral appliqué, dramatic silhouette",
Colville,Fall 2024,Feminine,"Tie-dye draped dress, maroon top","Chunky necklace, crossbody bag","Draped, fitted","Artistic, eclectic","Contrasting textures, statement piece",
Colville,Fall 2024,Feminine,"Floral print dress, color-blocked jacket","Tassel earrings, striped bag","Voluminous, structured","Vibrant, playful","Mix of prints, bold colors",
Colville,Fall 2024,Feminine,"Patchwork knit dress, oversized black and red coat","Patterned bag, colorful earrings","Layered, oversized","Eclectic, bold",Mix of textures and colors,
Colville,Spring 2024,Feminine,"Blue top, black pants","Large tote bag, small handbag, hoop earrings","Casual, layered","Modern, vibrant","Color-blocking, oversized bags",
Comme des Garçons,Spring 2024,Gender Neutral,"Floral print dress, oversized ruffled coat","Pink textured hat, colorful sneakers","Voluminous, exaggerated","Avant-garde, floral","Bold colors, layered textures",
Comme des Garçons,Spring 2024,Gender Neutral,"Multicolored geometric shorts, ruffled coat","Red wig, embellished shoes","Voluminous, sculptural","Avant-garde, geometric","Contrasting patterns, bold shapes",
Comme des Garçons,Spring 2024,Gender Neutral,"Floral print dress, ruffled coat","Pink textured hat, embellished shoes","Voluminous, layered","Avant-garde, floral","Mixed textures, vibrant colors",
Comme des Garçons,Spring 2024,Gender Neutral,Multicolored geometric print dress,"Pink bob wig, patterned sneakers","Voluminous, cocoon","Avant-garde, bold","Bright colors, oversized shapes",
Comme des Garçons,Spring 2024,Gender Neutral,Multicolored geometric print dress with bow detail,"Yellow textured wig, patterned sneakers","Voluminous, cocoon","Avant-garde, bold","Bright colors, oversized shapes",
